,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
voice884_ses-1_task-pataka_run-2,4.8101776584568245,5.096053265818973,4.796391443406707,3.7410138264956103,4.427799528870409,3.2658363423140706,3.3979807423821446,3.4607930002464755,4.414747849239431,3.500029276910626,,2.582493949924187,2.763218798400678,,5.183000987050719,4.537880568204279,,3.2631287321842777,3.8143715481837748,4.8253710062212445,2.967815018307262,3.026862165174239,3.833536350901638,
voice880_ses-1_task-pataka_run-2,6.062085534379528,4.37143253736865,3.2935080384463307,5.047968884795627,4.978247617679972,,2.4560073982551494,2.6812587993077273,3.070639292288536,3.624844484511426,3.448554325632231,3.8277602827127697,3.8241524912268403,3.8359247195338613,6.038246825006866,4.225060733577094,3.5302099090414023,,5.149666029652652,5.541881071170313,5.694230590759936,2.45414118059689,3.806393830272832,4.5005683922555155
voice953_ses-1_task-pataka_run-2,,,,,,,,,,,,,,,,,,,,,,,,
voice976_ses-1_task-pataka_run-2,8.0833752611599,5.198378123651674,2.945461293743503,4.772973065416281,7.300644534388334,7.33167860703942,2.7013100340434457,3.1066808840839806,2.611094791605943,,,,,,8.212672544619195,5.835784418249475,4.0433666644243775,2.940449141495333,5.210774538127686,6.98442213610987,3.3165514534366896,2.4735477782048623,3.9244422595828956,3.945458953901217
voice895_ses-1_task-pataka_run-2,5.020539230459891,4.292632893294423,3.3582848905140525,6.073587945652841,6.56340142435231,2.719273738388703,3.0146500464413983,2.6076766756466934,,,,,4.202320858337051,4.570237568680974,3.9589500959667614,2.9683174296467127,,,6.096631596305271,5.811338225929022,3.91724759543604,2.9266941233480104,,
voice875_ses-1_task-pataka_run-2,6.40209481805376,5.765228118934145,3.116812523157613,3.879335012010309,4.825376802358622,,,3.336005456796219,3.0462167311163477,3.838961690460061,,,,,6.361718171058477,5.408942433715073,,3.9639376197154093,4.213776886898294,4.507529344081118,5.870664791721956,,4.869088399096691,5.451647611301968
voice875_ses-2_task-pataka_run-2,6.358216543164043,6.292052568428518,4.762454666784802,3.4545457717720995,6.237358463064634,4.721299270199235,2.8488299062064506,2.5201057000145686,4.730722084276463,3.854905451515016,2.6478613737610717,5.0060223346406385,,,6.706358117630108,5.840707105584403,3.3949170152464143,4.875085734030531,3.8282240175821682,6.203232652727753,5.870669440844953,3.070904879927504,5.103896498686112,4.035415462185759
voice852_ses-1_task-pataka_run-2,5.8600969016297535,3.79962493558594,2.8644583203204887,4.233095689497279,3.809694986449363,,2.3827893577698034,2.604998991079108,,,,,4.179766817119566,3.2135958968817357,5.545092165892875,4.0287170728017525,,,2.7956139781164566,3.366417541707774,,,3.049132638280398,
voice956_ses-1_task-pataka_run-2,4.424084488576586,4.252317428740199,,,5.523138313007501,5.995226176918692,,,,,,,,,3.8863745420022053,4.647134728327174,,,3.1804836310287325,5.694072484577873,2.404202057886135,,,
voice956_ses-2_task-pataka_run-2,5.6763973415964175,4.800547420202116,3.095633172133963,2.58370356974212,5.948428257899946,5.847317938201091,2.918977885718254,3.2061193590211077,,,,,,,5.445580518677112,5.3008838708352135,,,3.27854401117687,6.816872273211904,3.6476046944570957,,2.991636906602823,
voice962_ses-1_task-pataka_run-2,6.624533822873449,4.929448884436293,3.0717140325503705,5.460970771356087,4.6197739130411035,4.091800756181342,,,2.6610995438603084,,2.688026414580306,2.803454644993395,5.105846084786707,,6.7787150436953985,4.548221943494892,,3.677477064051049,5.440445478582056,5.021283132524497,6.099224304278838,,3.0435032029962565,
voice967_ses-1_task-pataka_run-2,7.0417348322560676,5.909970056511047,3.1202045187306657,5.364271441259394,7.434012765127918,9.309127511247315,2.3613674004228393,3.14293703283755,,,3.9477317617662,3.2540143618437787,6.030657568673819,6.659473063828875,7.979414174254284,5.737942932343204,7.875293305823651,,7.0939130748009225,7.789600046692742,6.870542364923705,,3.789888984629941,3.0215946452023665
voice896_ses-1_task-pataka_run-2,6.887870717851476,6.238495005168772,6.1335086974310995,5.197129034139914,7.030928711286344,4.220759758128635,,,3.2305554011415127,2.9420377181031534,3.9439741322350192,3.9543900468504405,,3.169405241462483,7.494795528366119,7.4074292528014265,5.073950196069579,6.487080659432457,5.689626290805008,7.485615629960025,6.531305252592497,3.1812941403216386,5.457000805131544,5.594377726353618
voice856_ses-1_task-pataka_run-2,10.295518155708422,6.051359209444314,4.818284279104545,7.92917876938305,7.694185545650197,5.210632045430129,7.286795308098455,6.368831201237523,6.012215722787981,8.82725992079195,5.681004290324806,7.8507230227731055,11.699299019643457,8.597898467571023,10.528349845124513,7.536995863186491,9.223683476143075,8.090768773371625,8.970085775663025,9.048040687394513,13.314644847446097,5.947643199981789,5.7741878509842275,4.457402218951915
voice961_ses-1_task-pataka_run-2,5.785547169909806,4.535922530340338,2.7412658514037864,3.886865042107518,5.33823164279876,,2.446046063413883,,2.7209399336022613,3.455748398290655,3.548706772991916,3.5172084801677044,,3.9101840236117957,6.712286932180996,4.844047669563105,3.4124742436111286,3.414397509873565,3.8158073038000455,5.365079137967295,5.082925741867448,2.4547537504239614,3.296702766697906,3.1416221975407437
voice968_ses-1_task-pataka_run-2,6.259472801581575,5.36850928145829,2.739211233812342,2.957588425208214,5.769525997615442,5.614115572406027,3.1506517413477613,2.75929232666436,4.859309409308112,,,,2.8572640832401457,,6.51223285226758,5.469944241454309,,,3.5869288178696634,6.084128495369887,2.6243442468684384,,3.894934349101554,3.402735180012383
